t,true_x,true_y,true_theta,est_x,est_y,est_theta
0,0.1,0,0.03,1.0859,0.438438,0.0798751
0.1,0.199955,0.00299955,0.06,0.784628,0.203955,0.104615
0.2,0.299775,0.00899595,0.09,0.639613,0.0642297,0.0913501
0.3,0.39937,0.0179838,0.12,0.793308,0.0699385,0.147138
0.4,0.498651,0.029955,0.15,0.697974,0.0566221,0.179294
0.5,0.597528,0.0448988,0.18,0.68078,0.121671,0.184449
0.6,0.695913,0.0628018,0.21,0.741843,0.164884,0.222873
0.7,0.793716,0.0836478,0.24,0.862408,0.203457,0.233969
0.8,0.89085,0.107418,0.27,0.958683,0.185159,0.276166
0.9,0.987227,0.134091,0.3,1.07986,0.229457,0.315766
1,1.08276,0.163643,0.33,1.23917,0.192495,0.337355
1.1,1.17736,0.196048,0.36,1.3427,0.221778,0.366634
1.2,1.27095,0.231275,0.39,1.41211,0.262207,0.393746
1.3,1.36345,0.269294,0.42,1.51838,0.310382,0.434775
1.4,1.45475,0.31007,0.45,1.57986,0.419932,0.469154
1.5,1.5448,0.353566,0.48,1.6424,0.460467,0.488572
1.6,1.6335,0.399744,0.51,1.79803,0.496458,0.506153
1.7,1.72077,0.448562,0.54,1.8715,0.529766,0.527576
1.8,1.80654,0.499976,0.57,1.9835,0.58978,0.56474
1.9,1.89073,0.553939,0.6,2.07065,0.660325,0.598914
2,1.97327,0.610403,0.63,2.15519,0.728733,0.628043
2.1,2.05407,0.669318,0.66,2.23457,0.752915,0.65742
2.2,2.13307,0.730629,0.69,2.26192,0.853575,0.701265
2.3,2.21019,0.794283,0.72,2.35518,0.90771,0.735899
2.4,2.28537,0.860221,0.75,2.42739,0.974019,0.76109
2.5,2.35854,0.928385,0.78,2.49498,1.01421,0.784585
2.6,2.42963,0.998713,0.81,2.62436,1.06899,0.809887
2.7,2.49858,1.07114,0.84,2.66316,1.17294,0.839665
2.8,2.56533,1.14561,0.87,2.67934,1.25334,0.873905
2.9,2.62981,1.22204,0.9,2.71005,1.36498,0.903629
3,2.69197,1.30037,0.93,2.79278,1.43171,0.935148
3.1,2.75176,1.38053,0.96,2.81079,1.52366,0.969417
3.2,2.80911,1.46245,0.99,2.88121,1.62944,0.99629
3.3,2.86398,1.54606,1.02,2.90489,1.69875,1.02689
3.4,2.91632,1.63127,1.05,2.93627,1.78428,1.05287
3.5,2.96607,1.71801,1.08,2.99412,1.85548,1.07863
3.6,3.01321,1.8062,1.11,3.01887,1.94076,1.11046
3.7,3.05767,1.89577,1.14,3.06815,2.06765,1.14281
3.8,3.09943,1.98664,1.17,3.09441,2.14458,1.1674
3.9,3.13845,2.07871,1.2,3.14924,2.22517,1.19891
4,3.17468,2.17192,1.23,3.1912,2.27352,1.23148
4.1,3.20811,2.26617,1.26,3.20823,2.33543,1.25666
4.2,3.23869,2.36137,1.29,3.25738,2.44305,1.28406
4.3,3.2664,2.45746,1.32,3.31811,2.52706,1.3141
4.4,3.29122,2.55433,1.35,3.30442,2.6745,1.34532
4.5,3.31312,2.6519,1.38,3.28562,2.78982,1.37649
4.6,3.33208,2.75009,1.41,3.29511,2.8895,1.40788
4.7,3.34809,2.8488,1.44,3.31574,2.98097,1.4375
4.8,3.36113,2.94794,1.47,3.36502,3.0394,1.46711
4.9,3.3712,3.04744,1.5,3.35025,3.14633,1.50152
5,3.37827,3.14719,1.53,3.33008,3.23789,1.53153
5.1,3.38235,3.2471,1.56,3.32299,3.35059,1.55865
5.2,3.38343,3.3471,1.59,3.34998,3.41434,1.58462
5.3,3.38151,3.44708,1.62,3.33068,3.51564,1.61541
5.4,3.37659,3.54696,1.65,3.34395,3.57927,1.64239
5.5,3.36868,3.64664,1.68,3.34806,3.68636,1.66797
5.6,3.35778,3.74605,1.71,3.37214,3.80026,1.69739
5.7,3.3439,3.84508,1.74,3.38542,3.85669,1.728
5.8,3.32706,3.94365,1.77,3.3427,4.03017,1.75866
5.9,3.30728,4.04167,1.8,3.3416,4.13709,1.78748
6,3.28456,4.13906,1.83,3.32089,4.21727,1.82006
6.1,3.25892,4.23572,1.86,3.30069,4.31643,1.8488
6.2,3.23041,4.33157,1.89,3.27306,4.41412,1.87894
6.3,3.19902,4.42651,1.92,3.23365,4.51159,1.90878
6.4,3.16481,4.52048,1.95,3.19858,4.5755,1.94185
6.5,3.12779,4.61337,1.98,3.18718,4.63143,1.97107
6.6,3.088,4.70512,2.01,3.1402,4.75783,2.00295
6.7,3.04548,4.79563,2.04,3.08403,4.84893,2.03124
6.8,3.00026,4.88482,2.07,3.02802,4.89982,2.05961
6.9,2.95239,4.97262,2.1,2.97367,4.97513,2.09099
7,2.90191,5.05894,2.13,2.9091,5.09734,2.12245
7.1,2.84886,5.14371,2.16,2.85226,5.19959,2.15125
7.2,2.79329,5.22684,2.19,2.79026,5.26941,2.18021
7.3,2.73525,5.30828,2.22,2.70847,5.37941,2.20721
7.4,2.67479,5.38793,2.25,2.64149,5.46942,2.24014
7.5,2.61197,5.46574,2.28,2.57814,5.53882,2.26776
7.6,2.54685,5.54163,2.31,2.52684,5.59586,2.29873
7.7,2.47948,5.61553,2.34,2.4432,5.70002,2.32633
7.8,2.40992,5.68738,2.37,2.36538,5.74443,2.35546
7.9,2.33824,5.7571,2.4,2.27345,5.78132,2.38553
