t,true_px,true_py,meas_px,meas_py,est_px,est_py
0,0,0,-0.275117,0.257717,-0.268408,0.251431
0.01,0.01,0.005,0.24693,0.689225,-0.013338,0.468122
0.02,0.02,0.01,-0.438413,-0.0520736,-0.154919,0.294836
0.03,0.03,0.015,-0.975481,-0.231402,-0.362475,0.161672
0.04,0.04,0.02,0.23629,-0.444592,-0.239934,0.0367816
0.05,0.05,0.025,0.0899159,-0.0547582,-0.182425,0.0200272
0.06,0.06,0.03,0.0711109,-0.183896,-0.14335,-0.012103
0.07,0.07,0.035,-0.195909,-0.0237378,-0.15012,-0.0148119
0.08,0.08,0.04,0.191039,-0.343988,-0.106415,-0.057702
0.09,0.09,0.045,0.161232,0.0276739,-0.0737706,-0.0491855
0.1,0.1,0.05,0.66717,-0.00237277,0.0108178,-0.0454042
0.11,0.11,0.055,-0.152561,1.01139,-0.0041306,0.0670267
0.12,0.12,0.06,-0.89336,0.619712,-0.0945144,0.125279
0.13,0.13,0.065,0.519596,-0.485549,-0.0315123,0.0648814
0.14,0.14,0.07,0.705114,0.256559,0.0439821,0.0844598
0.15,0.15,0.075,-0.0432365,-0.504385,0.0389386,0.0271912
0.16,0.16,0.08,0.443056,-0.272227,0.0818509,-0.00269501
0.17,0.17,0.085,-0.51897,-0.0915583,0.0276889,-0.0126806
0.18,0.18,0.09,-0.0507329,0.123329,0.0228484,-0.00102476
0.19,0.19,0.095,0.101857,0.695446,0.0330784,0.0654032
0.2,0.2,0.1,0.549199,0.0141856,0.0859779,0.0611633
0.21,0.21,0.105,-0.243593,0.699313,0.058135,0.123813
0.22,0.22,0.11,0.612766,1.43801,0.115423,0.254243
0.23,0.23,0.115,0.361743,0.935886,0.144305,0.326945
0.24,0.24,0.12,0.470408,0.162962,0.181729,0.319034
0.25,0.25,0.125,-0.504979,0.485751,0.120934,0.342983
0.26,0.26,0.13,-0.16171,-0.126663,0.0976578,0.305
0.27,0.27,0.135,0.248232,-0.00265044,0.11605,0.281483
0.28,0.28,0.14,-0.501533,-0.257816,0.0594162,0.234281
0.29,0.29,0.145,0.755292,0.483884,0.130025,0.263004
0.3,0.3,0.15,0.64922,0.236801,0.185246,0.265333
0.31,0.31,0.155,0.641142,0.275561,0.23568,0.27115
0.32,0.32,0.16,0.235897,0.742384,0.242656,0.322177
0.33,0.33,0.165,0.207126,-0.219834,0.246113,0.275245
0.34,0.34,0.17,0.946086,0.786748,0.321327,0.329841
0.35,0.35,0.175,-0.437078,0.493976,0.256086,0.35184
0.36,0.36,0.18,-0.662212,0.71474,0.173407,0.39356
0.37,0.37,0.185,-0.0968814,0.577104,0.151368,0.418734
0.38,0.38,0.19,0.0725621,0.356446,0.147207,0.420541
0.39,0.39,0.195,-0.300359,0.0545969,0.107295,0.392903
0.4,0.4,0.2,0.370091,0.680587,0.134653,0.427252
0.41,0.41,0.205,1.30714,0.495345,0.249737,0.441182
0.42,0.42,0.21,0.568825,-0.304058,0.285868,0.377584
0.43,0.43,0.215,-0.279298,0.310168,0.23853,0.376879
0.44,0.44,0.22,0.507877,0.524045,0.269118,0.396365
0.45,0.45,0.225,0.802491,0.405462,0.325194,0.403097
0.46,0.46,0.23,-0.273484,0.676315,0.275764,0.434698
0.47,0.47,0.235,0.417371,-0.242673,0.294567,0.37766
0.48,0.48,0.24,0.272618,-0.45937,0.298349,0.304344
0.49,0.49,0.245,0.31796,0.620393,0.305947,0.3368
0.5,0.5,0.25,0.336187,-0.180799,0.314557,0.292467
0.51,0.51,0.255,0.380908,0.485478,0.326554,0.312885
0.52,0.52,0.26,-0.154695,-0.249536,0.288166,0.263999
0.53,0.53,0.265,0.593506,-0.359722,0.321165,0.208416
0.54,0.54,0.27,1.51256,0.193332,0.435911,0.207436
0.55,0.55,0.275,0.0965064,-0.133677,0.413015,0.176645
0.56,0.56,0.28,0.318439,-0.00491419,0.411776,0.159758
0.57,0.57,0.285,-0.4758,0.91687,0.338336,0.227783
0.58,0.58,0.29,0.572258,0.276312,0.364828,0.233018
0.59,0.59,0.295,0.998937,-0.232302,0.427873,0.191932
0.6,0.6,0.3,0.220836,0.528708,0.416284,0.222256
0.61,0.61,0.305,0.577811,0.477451,0.437423,0.245853
0.62,0.62,0.31,0.579956,0.18931,0.457136,0.241965
0.63,0.63,0.315,1.34676,0.847897,0.543893,0.297212
0.64,0.64,0.32,-0.60938,1.06016,0.449953,0.367542
0.65,0.65,0.325,1.72936,0.940889,0.570524,0.422341
0.66,0.66,0.33,0.552838,-0.0145971,0.578107,0.388389
0.67,0.67,0.335,1.03392,0.0254653,0.627625,0.36022
0.68,0.68,0.34,0.85808,0.32906,0.657984,0.360764
0.69,0.69,0.345,1.29903,0.150271,0.724999,0.345406
0.7,0.7,0.35,0.478599,0.539113,0.71486,0.365316
0.71,0.71,0.355,1.67692,0.395485,0.81066,0.371163
0.72,0.72,0.36,0.511772,0.788752,0.797284,0.411111
0.73,0.73,0.365,1.08906,-0.110736,0.835203,0.369329
0.74,0.74,0.37,0.47192,0.918264,0.816196,0.420476
0.75,0.75,0.375,0.964006,-0.859849,0.841263,0.312469
0.76,0.76,0.38,1.00099,0.843228,0.867607,0.36053
0.77,0.77,0.385,0.351209,0.723593,0.835177,0.394874
0.78,0.78,0.39,1.71616,0.588187,0.923678,0.415043
0.79,0.79,0.395,0.477192,0.133769,0.898061,0.394202
0.8,0.8,0.4,0.806517,0.588885,0.902526,0.41428
0.81,0.81,0.405,0.841412,0.655798,0.909453,0.438763
0.82,0.82,0.41,0.746527,0.500311,0.907408,0.44803
0.83,0.83,0.415,1.31241,-0.117416,0.954336,0.402992
0.84,0.84,0.42,0.894356,0.472882,0.961634,0.412043
0.85,0.85,0.425,1.31033,0.311639,1.00421,0.406458
0.86,0.86,0.43,1.18652,0.981344,1.03296,0.459148
0.87,0.87,0.435,-0.0549014,1.01932,0.952134,0.51156
0.88,0.88,0.44,0.387309,-0.10697,0.914601,0.463049
0.89,0.89,0.445,-0.549728,0.0434111,0.798356,0.430633
0.9,0.9,0.45,0.897572,0.258338,0.814534,0.418835
0.91,0.91,0.455,0.678737,-0.101249,0.810591,0.37672
0.92,0.92,0.46,1.35361,0.939207,0.86494,0.427058
0.93,0.93,0.465,1.13906,-0.478264,0.897042,0.351847
0.94,0.94,0.47,2.07667,0.543487,1.00762,0.369568
0.95,0.95,0.475,1.2198,-0.274148,1.03692,0.315678
0.96,0.96,0.48,0.954278,0.686677,1.04119,0.348016
0.97,0.97,0.485,0.899551,0.921081,1.04022,0.398387
0.98,0.98,0.49,1.63017,-0.181762,1.10191,0.350556
0.99,0.99,0.495,1.41506,0.69217,1.14081,0.380972
1,1,0.5,0.997652,-0.285406,1.141,0.325333
1.01,1.01,0.505,1.74992,0.703387,1.20555,0.358283
1.02,1.02,0.51,0.128374,0.388433,1.12629,0.362002
1.03,1.03,0.515,1.19361,0.768288,1.14342,0.398077
1.04,1.04,0.52,0.976198,0.690795,1.1405,0.425107
1.05,1.05,0.525,2.10944,1.29827,1.23481,0.502472
1.06,1.06,0.53,0.58524,0.231551,1.19188,0.483163
1.07,1.07,0.535,1.0144,-0.339535,1.18829,0.416028
1.08,1.08,0.54,0.409298,-0.270847,1.13277,0.359103
1.09,1.09,0.545,0.51614,1.2398,1.0898,0.435435
1.1,1.1,0.55,0.67238,0.0364691,1.06281,0.403557
1.11,1.11,0.555,1.55142,0.330348,1.11277,0.398911
1.12,1.12,0.56,1.32932,0.19591,1.14025,0.383007
1.13,1.13,0.565,0.229056,0.798859,1.07141,0.419794
1.14,1.14,0.57,0.364283,0.314753,1.01845,0.41266
1.15,1.15,0.575,0.783524,0.672673,1.00471,0.436623
1.16,1.16,0.58,0.882028,0.516133,1.00017,0.44557
1.17,1.17,0.585,0.389721,1.58517,0.953606,0.545482
1.18,1.18,0.59,0.579934,1.19069,0.926253,0.605023
1.19,1.19,0.595,1.26492,0.665454,0.95926,0.615589
1.2,1.2,0.6,1.37721,-0.340156,0.999642,0.539209
1.21,1.21,0.605,1.6932,0.349528,1.06435,0.526761
1.22,1.22,0.61,1.8252,0.534382,1.13602,0.530872
1.23,1.23,0.615,1.04274,-0.0306081,1.13587,0.486254
1.24,1.24,0.62,0.857245,0.831157,1.11967,0.518263
1.25,1.25,0.625,0.596043,-0.3703,1.08198,0.445253
1.26,1.26,0.63,0.831226,1.05,1.06673,0.498543
1.27,1.27,0.635,2.16065,0.296292,1.16616,0.483795
1.28,1.28,0.64,0.505586,0.468435,1.11728,0.484689
1.29,1.29,0.645,1.38193,0.933949,1.14644,0.525326
1.3,1.3,0.65,2.36732,0.763424,1.25791,0.548668
1.31,1.31,0.655,2.13773,0.423537,1.3423,0.541328
1.32,1.32,0.66,1.36328,0.363559,1.3547,0.529258
1.33,1.33,0.665,0.989998,0.533297,1.3341,0.532432
1.34,1.34,0.67,1.19967,0.368012,1.33256,0.52119
1.35,1.35,0.675,1.07537,1.2234,1.32025,0.583827
1.36,1.36,0.68,2.41656,0.430797,1.42332,0.574491
1.37,1.37,0.685,1.2078,0.947305,1.41601,0.609884
1.38,1.38,0.69,2.97352,0.732082,1.56004,0.624474
1.39,1.39,0.695,1.87632,1.46724,1.60056,0.700935
1.4,1.4,0.7,1.57203,1.16312,1.61209,0.746292
1.41,1.41,0.705,1.71392,1.22126,1.6347,0.79354
1.42,1.42,0.71,0.902799,0.812141,1.58612,0.802553
1.43,1.43,0.715,1.67061,0.948529,1.60609,0.822484
1.44,1.44,0.72,2.00851,0.943445,1.65339,0.840516
1.45,1.45,0.725,0.877526,1.02066,1.60054,0.863808
1.46,1.46,0.73,1.01846,0.380311,1.5629,0.830614
1.47,1.47,0.735,1.26075,0.679291,1.54816,0.824982
1.48,1.48,0.74,0.708137,1.29845,1.48685,0.872532
1.49,1.49,0.745,0.912242,1.53006,1.44676,0.936646
1.5,1.5,0.75,0.937524,1.39096,1.41125,0.984507
1.51,1.51,0.755,1.49579,-0.103212,1.42563,0.901203
1.52,1.52,0.76,0.998519,1.42324,1.39637,0.953714
1.53,1.53,0.765,1.75432,0.725634,1.43352,0.942941
1.54,1.54,0.77,0.431619,1.46478,1.35493,0.995917
1.55,1.55,0.775,2.48521,1.61901,1.45701,1.05845
1.56,1.56,0.78,1.25238,0.9714,1.44684,1.0613
1.57,1.57,0.785,1.81607,0.0212737,1.4854,0.982439
1.58,1.58,0.79,1.67025,1.32552,1.50881,1.02008
1.59,1.59,0.795,1.97224,0.239418,1.55637,0.962155
1.6,1.6,0.8,1.16869,1.1953,1.5319,0.989589
1.61,1.61,0.805,1.92643,-0.322079,1.57366,0.885246
1.62,1.62,0.81,0.391703,0.771734,1.48122,0.881106
1.63,1.63,0.815,1.33517,0.665849,1.47533,0.868051
1.64,1.64,0.82,1.43435,1.31201,1.47815,0.91101
1.65,1.65,0.825,1.70178,0.958818,1.50353,0.920842
1.66,1.66,0.83,0.988844,-0.852048,1.46612,0.774975
1.67,1.67,0.835,2.23177,1.9066,1.53734,0.874495
1.68,1.68,0.84,1.50871,0.964657,1.54193,0.886886
1.69,1.69,0.845,1.85226,1.68265,1.57546,0.959793
1.7,1.7,0.85,2.14449,1.09803,1.63165,0.977828
